id,timestamp,media_type,caption,like_count,comments_count,reach,saved,views,permalink
17866957911691504,2026-07-04T10:53:05+0000,VIDEO,end credits don’t mean the story is over. just that i’m still becoming her.,104,5,1930,18,2675,https://www.instagram.com/reel/DaXkQ8HMjF4/
17913841452223403,2026-07-04T02:38:03+0000,VIDEO,She’s basically talking herself through every step.,14,3,568,0,641,https://www.instagram.com/reel/DaWryiWIgYs/
18004388681939126,2026-07-01T13:05:06+0000,VIDEO,Studying now so I can choose my future later.,17,0,530,6,678,https://www.instagram.com/reel/DaQFN2wsfP6/
18136006324600842,2026-07-01T02:16:00+0000,VIDEO,"Classiest revenge? Not arguing, not explaining—just removing access to you forever.",190,0,3642,32,5522,https://www.instagram.com/reel/DaO66Fhon4l/
17998649387992536,2026-07-01T01:42:25+0000,VIDEO,Be honest 👇 Are you here for the rom-com fantasy or the real-life peace?,31,1,1896,5,2399,https://www.instagram.com/reel/DaO3IpjosIM/
18101418239169732,2026-06-30T23:11:58+0000,VIDEO,"It’s okay to go alone. Do it for yourself, not for others. 🤍",53,2,1573,15,2237,https://www.instagram.com/reel/DaOl6HCMqYJ/
17974766049061986,2026-06-29T11:55:51+0000,VIDEO,"Well, well, well… looks like there’s nothing left beyond my feelings.",37,0,971,4,1176,https://www.instagram.com/reel/DaKzq_GhTkR/
17969345546917150,2026-06-29T11:33:21+0000,VIDEO,Then i really can’t help u out🙂‍↕️,28,1,1784,5,2189,https://www.instagram.com/reel/DaKxIVpQiLB/
18120242446762643,2026-06-28T12:15:23+0000,VIDEO,"Caught in the rain, found my peace.",19,0,577,0,683,https://www.instagram.com/reel/DaIRLzOs9WA/
18097322111336964,2026-06-27T15:52:16+0000,VIDEO,Seriously 😭😭😭,44,4,2038,2,2708,https://www.instagram.com/reel/DaGFNyzMSEI/
18086185778140689,2026-06-27T15:20:53+0000,VIDEO,My code and I are currently in a toxic relationship😭,24,0,1535,5,1838,https://www.instagram.com/reel/DaGBoAQMLE-/
18116386717834941,2026-06-24T06:58:18+0000,VIDEO,And the worst part? I’m from Himachal,154,2,9265,19,14011,https://www.instagram.com/reel/DZ9ZqmPsB_C/
18064914851687889,2026-06-23T19:29:05+0000,VIDEO,"Things nobody tells you about Germany:  Before recording anyone, ask if they’re comfortable being on camera.  Privacy here is taken seriously—and honestly, it should be everywhere.",57,23,6081,9,8505,https://www.instagram.com/reel/DZ8K2E7MRuE/
17874419190616802,2026-06-23T15:18:17+0000,IMAGE,"nobody told me 19 would look like this —  studying in Germany, building something from nothing, figuring it out one day at a time 🎞️  watch me.  #InternationalStudent #StudentLife #GermanyLife",69,2,679,1,,https://www.instagram.com/p/DZ7uLm9jAPE/
18016795121697011,2026-06-23T10:17:34+0000,VIDEO,Yeah,11,0,372,0,431,https://www.instagram.com/reel/DZ7LutistQw/
18168507757438230,2026-06-23T00:05:48+0000,VIDEO,No chance 😂😭🦦,252,11,7486,21,9688,https://www.instagram.com/reel/DZ6FsuDM0Xn/
18070345346402999,2026-06-22T23:59:49+0000,VIDEO,Lets see,9,5,1595,2,2075,https://www.instagram.com/reel/DZ6E_n-MIYB/
18085694252629735,2026-06-22T22:28:38+0000,VIDEO,Learning new things,9,0,419,0,569,https://www.instagram.com/reel/DZ56m0RMzi9/
18331140085267324,2026-06-22T12:30:38+0000,VIDEO,"If you think this is normal, wait till you see more.",21,1,1692,1,1982,https://www.instagram.com/reel/DZ42KUlsZ6h/
18090948494056628,2026-06-21T22:30:42+0000,VIDEO,Drop your favorite pic below 👇😏 Let’s see who catches my eye.,331,1508,17691,23,36604,https://www.instagram.com/reel/DZ3V-DfM8SI/
18062459045713888,2026-06-21T11:56:35+0000,VIDEO,Who the fahhh cares😭,53,1,2449,4,3137,https://www.instagram.com/reel/DZ2Ndy9sZtZ/
17881179072606422,2026-06-21T10:15:25+0000,CAROUSEL_ALBUM,"Yoga is the art of listening to your body, calming your mind, and strengthening your soul 🧘",134,8,1074,4,,https://www.instagram.com/p/DZ2B7lYDLrS/
17953523076232465,2026-06-20T22:19:37+0000,VIDEO,I am loving my company 😭😭😭,45,3,2096,7,2452,https://www.instagram.com/reel/DZ0v-r3scsy/
18057684440732998,2026-06-20T21:55:32+0000,VIDEO,"New city, new version of me. Exploring Berlin like I belong here already",178,9,7147,20,9939,https://www.instagram.com/reel/DZ0tIS5McJU/
18087271685375390,2026-06-09T09:01:57+0000,VIDEO,And here we are—June again🦦🦋,138,0,1274,3,1478,https://www.instagram.com/reel/DZW_4R6sKNK/
